index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance,leisure,residence,shopping,university,restaurant
"River Street , Clerkenwell",531204.957571767037734,182826.874388588999864,1.000000000000000,531204.957571767037734,182826.874388588999864,"19",0.0041513,200.000000,1790.99907,"2","0",0.0560398500,0.1257783310,74.68843,0.0093746510,0.0204112220,0.00001,1.00000,0.00001,0.00001,0.00001,0.00001
"Phillimore Gardens, Kensington",525203.530182866030373,179389.872735228011152,2.000000000000000,525203.530182866030373,179389.872735228011152,"37",0.0067093,200.000000,1433.84358,"5","0",0.1120797010,0.2876712320,5.88738,0.0257238450,0.0388049470,0.00001,3.00000,1.00000,4.00000,0.00001,3.00000
"Christopher Street, Liverpool Street",532984.115423572948202,182001.761003435996827,3.000000000000000,532984.115423572948202,182001.761003435996827,"32",0.0164926,200.000000,344.43800,"7","0",0.1307596510,0.1930261510,7.53774,0.0647033470,0.0220027320,0.00001,7.00000,3.00000,0.00001,0.00001,7.00000
"St. Chad's Street, King's Cross",530435.413113969960250,182912.683769038005266,4.000000000000000,530435.413113969960250,182912.683769038005266,"23",0.0084473,200.000000,1503.96252,"8","0",0.0560398500,0.1643835610,6.56075,0.0190622360,0.0338780750,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"Sedding Street, Sloane Square",528051.439095636014827,178742.194455760007259,5.000000000000000,528051.439095636014827,178742.194455760007259,"27",0.0051152,200.000000,1236.33095,"9","1",0.1818181810,0.3673723530,0.00001,0.0506766940,0.0484880880,2.00000,2.00000,0.00001,3.00000,0.00001,2.00000
"Broadcasting House, Marylebone",528861.063697690959089,181543.514632392994827,6.000000000000000,528861.063697690959089,181543.514632392994827,"18",0.0037404,200.000000,709.02528,"2","0",0.1556662510,0.3001245330,0.00001,0.0679743270,0.0435934570,0.00001,6.00000,16.00000,6.00000,0.00001,3.00000
"Charlbert Street, St. John's Wood",527154.489411763963290,183297.832175365008879,7.000000000000000,527154.489411763963290,183297.832175365008879,"16",0.0014907,200.000000,2528.99751,"1","0",0.0846824400,0.1394769610,0.00001,0.0035719600,0.0254070390,1.00000,5.00000,0.00001,17.00000,0.00001,3.00000
"Maida Vale, Maida Vale",526107.797309315996245,182785.556644127005711,8.000000000000000,526107.797309315996245,182785.556644127005711,"39",0.0022264,200.000000,1739.48449,"4","1",0.1270236610,0.2378580320,0.00001,0.0107593760,0.0401200930,2.00000,2.00000,0.00001,4.00000,0.00001,1.00000
"New Globe Walk, Bankside",532200.483276537037455,180434.756796456000302,9.000000000000000,532200.483276537037455,180434.756796456000302,"19",0.0045052,200.000000,1039.93812,"3","0",0.0697384800,0.1357409710,7.51737,0.0329526790,0.0199903960,0.00001,6.00000,1.00000,1.00000,1.00000,3.00000
"Park Street, Bankside",532460.306559582008049,180284.137735697004246,10.000000000000000,532460.306559582008049,180284.137735697004246,"18",0.0037997,200.000000,674.20294,"6","0",0.0660024900,0.1320049810,0.00001,0.0236861020,0.0218599650,0.00001,2.00000,4.00000,2.00000,0.00001,4.00000
"Brunswick Square, Bloomsbury",530351.782854377990589,182231.312692034989595,11.000000000000000,530351.782854377990589,182231.312692034989595,"24",0.0068745,200.000000,2149.65938,"1","1",0.0909090900,0.2901618920,29.68735,0.0391938120,0.0503403180,2.00000,2.00000,1.00000,3.00000,0.00001,3.00000
"Malet Street, Bloomsbury",529798.739955589990132,181959.513475554995239,12.000000000000000,529798.739955589990132,181959.513475554995239,"49",0.0108577,200.000000,966.27634,"0","0",0.1481942710,0.3648816930,22.47893,0.0579860740,0.0436722820,1.00000,3.00000,7.00000,1.00000,3.00000,0.00001
"Scala Street, Fitzrovia",529421.521726610953920,181754.375523082009749,13.000000000000000,529421.521726610953920,181754.375523082009749,"21",0.0157584,200.000000,1540.62922,"4","1",0.0809464500,0.1942714810,7.49555,0.0452379380,0.0269770640,0.00001,1.00000,0.00001,0.00001,0.00001,0.00001
"Belgrove Street , King's Cross",530250.189387027989142,182892.243952868011547,14.000000000000000,530250.189387027989142,182892.243952868011547,"48",0.0138639,200.000000,1156.52556,"11","1",0.3835616430,0.5678704850,12.20588,0.0692847000,0.1153473080,8.00000,9.00000,29.00000,11.00000,0.00001,9.00000
"Great Russell Street, Bloomsbury",529992.671338642016053,181531.300368895987049,15.000000000000000,529992.671338642016053,181531.300368895987049,"26",0.0067620,200.000000,893.60547,"8","0",0.1046077210,0.2303860520,2.79745,0.0451931750,0.0312553680,0.00001,1.00000,2.00000,0.00001,1.00000,1.00000
"Cartwright Gardens , Bloomsbury",530096.390561365056783,182489.384900453005685,16.000000000000000,530096.390561365056783,182489.384900453005685,"21",0.0050665,200.000000,4887.68600,"0","0",0.1058530510,0.2391033620,5.89281,0.0254720540,0.0427617510,0.00001,1.00000,11.00000,5.00000,0.00001,4.00000
"Hatton Wall, Holborn",531294.621763602015562,182002.460349627013784,17.000000000000000,531294.621763602015562,182002.460349627013784,"26",0.0055514,200.000000,1607.02861,"6","0",0.1843088410,0.3038605230,62.25548,0.0680860830,0.0459581840,0.00001,1.00000,0.00001,12.00000,0.00001,5.00000
"Drury Lane, Covent Garden",530390.779404385015368,181206.913906887988560,18.000000000000000,530390.779404385015368,181206.913906887988560,"27",0.0078113,200.000000,1660.48667,"0","0",0.1320049810,0.4981320050,0.00001,0.0553553240,0.0949621490,1.00000,5.00000,1.00000,7.00000,0.00001,5.00000
"Taviton Street, Bloomsbury",529744.489272031001747,182337.248689970001578,19.000000000000000,529744.489272031001747,182337.248689970001578,"30",0.0076070,200.000000,1014.17389,"2","0",0.1183063510,0.3100871730,14.71501,0.0330501170,0.0465500890,0.00001,0.00001,4.00000,0.00001,3.00000,0.00001
"Drummond Street , Euston",529395.009905377984978,182585.433733676996781,20.000000000000000,529395.009905377984978,182585.433733676996781,"28",0.0060270,200.000000,669.24221,"5","2",0.1133250310,0.1270236610,27.54813,0.0084364170,0.0259159480,0.00001,0.00001,2.00000,3.00000,0.00001,2.00000
