index,nearest_x,nearest_y,station_id,x,y,centrality,centrali_1,docks_num
"River Street , Clerkenwell",531204.957571767037734,182826.874388588999864,1.000000000000000,531204.957571767037734,182826.874388588999864,0.009374651778366,0.056039850560399,"19"
"Phillimore Gardens, Kensington",525203.530182866030373,179389.872735228011152,2.000000000000000,525203.530182866030373,179389.872735228011152,0.025723845291775,0.112079701120797,"37"
"Christopher Street, Liverpool Street",532984.115423572948202,182001.761003435996827,3.000000000000000,532984.115423572948202,182001.761003435996827,0.064703347183715,0.130759651307597,"32"
"St. Chad's Street, King's Cross",530435.413113969960250,182912.683769038005266,4.000000000000000,530435.413113969960250,182912.683769038005266,0.019062236586398,0.056039850560399,"23"
"Sedding Street, Sloane Square",528051.439095636014827,178742.194455760007259,5.000000000000000,528051.439095636014827,178742.194455760007259,0.050676694466615,0.181818181818182,"27"
"Broadcasting House, Marylebone",528861.063697690959089,181543.514632392994827,6.000000000000000,528861.063697690959089,181543.514632392994827,0.067974327440538,0.155666251556663,"18"
"Charlbert Street, St. John's Wood",527154.489411763963290,183297.832175365008879,7.000000000000000,527154.489411763963290,183297.832175365008879,0.003571960824124,0.084682440846824,"16"
"Maida Vale, Maida Vale",526107.797309315996245,182785.556644127005711,8.000000000000000,526107.797309315996245,182785.556644127005711,0.010759376072946,0.127023661270237,"39"
"New Globe Walk, Bankside",532200.483276537037455,180434.756796456000302,9.000000000000000,532200.483276537037455,180434.756796456000302,0.032952679505220,0.069738480697385,"19"
"Park Street, Bankside",532460.306559582008049,180284.137735697004246,10.000000000000000,532460.306559582008049,180284.137735697004246,0.023686102861595,0.066002490660025,"18"
"Brunswick Square, Bloomsbury",530351.782854377990589,182231.312692034989595,11.000000000000000,530351.782854377990589,182231.312692034989595,0.039193812254038,0.090909090909091,"24"
"Malet Street, Bloomsbury",529798.739955589990132,181959.513475554995239,12.000000000000000,529798.739955589990132,181959.513475554995239,0.057986074862747,0.148194271481943,"49"
"Scala Street, Fitzrovia",529421.521726610953920,181754.375523082009749,13.000000000000000,529421.521726610953920,181754.375523082009749,0.045237938640730,0.080946450809465,"21"
"Belgrove Street , King's Cross",530250.189387027989142,182892.243952868011547,14.000000000000000,530250.189387027989142,182892.243952868011547,0.069284700094224,0.383561643835616,"48"
"Great Russell Street, Bloomsbury",529992.671338642016053,181531.300368895987049,15.000000000000000,529992.671338642016053,181531.300368895987049,0.045193175380549,0.104607721046077,"26"
"Cartwright Gardens , Bloomsbury",530096.390561365056783,182489.384900453005685,16.000000000000000,530096.390561365056783,182489.384900453005685,0.025472054635402,0.105853051058531,"21"
"Hatton Wall, Holborn",531294.621763602015562,182002.460349627013784,17.000000000000000,531294.621763602015562,182002.460349627013784,0.068086083940215,0.184308841843088,"26"
"Drury Lane, Covent Garden",530390.779404385015368,181206.913906887988560,18.000000000000000,530390.779404385015368,181206.913906887988560,0.055355324386823,0.132004981320050,"27"
"Taviton Street, Bloomsbury",529744.489272031001747,182337.248689970001578,19.000000000000000,529744.489272031001747,182337.248689970001578,0.033050117690438,0.118306351183064,"30"
"Drummond Street , Euston",529395.009905377984978,182585.433733676996781,20.000000000000000,529395.009905377984978,182585.433733676996781,0.008436417210306,0.113325031133250,"28"
"Lansdowne Drive, Hackney Central",534440.470789519022219,184103.486562737001805,21.000000000000000,534440.470789519022219,184103.486562737001805,0.011585156911601,0.094645080946451,"26"
"Northington Street , Holborn",530934.505810079048388,182061.659535295009846,22.000000000000000,530934.505810079048388,182061.659535295009846,0.058961159706371,0.133250311332503,"19"
"Red Lion Square, Holborn",530598.349359577056020,181735.367011394992005,23.000000000000000,530598.349359577056020,181735.367011394992005,0.018521540007691,0.057285180572852,"16"
"British Museum, Bloomsbury",530214.784278420032933,181687.750570606993278,24.000000000000000,530214.784278420032933,181687.750570606993278,0.041318733041396,0.092154420921544,"35"
"Doric Way , Somers Town",529658.188558381982148,182754.224471841007471,25.000000000000000,529658.188558381982148,182754.224471841007471,0.021635908133972,0.161892901618929,"50"
"Ampton Street , Clerkenwell",530631.707939109997824,182602.725895929004764,26.000000000000000,530631.707939109997824,182602.725895929004764,0.014469444179849,0.068493150684932,"21"
"Bouverie Street, Temple",531388.961138749960810,181129.527427327004261,27.000000000000000,531388.961138749960810,181129.527427327004261,0.065548966435270,0.145703611457036,"33"
"Bolsover Street, Fitzrovia",528886.884994947002269,182145.191779499000404,28.000000000000000,528886.884994947002269,182145.191779499000404,0.034775612004670,0.141967621419676,"19"
"Hereford Road, Bayswater",525448.983724839985371,180969.326543056988157,29.000000000000000,525448.983724839985371,180969.326543056988157,0.014584605612358,0.098381070983811,"22"
"Windsor Terrace, Hoxton",532347.133815433015116,182860.123039711004822,30.000000000000000,532347.133815433015116,182860.123039711004822,0.015790192306901,0.080946450809465,"24"
"Fanshaw Street, Hoxton",533047.208965537021868,182921.317506944003981,31.000000000000000,533047.208965537021868,182921.317506944003981,0.027942509549716,0.105853051058531,"36"
"Leonard Circus , Shoreditch",532985.971973279956728,182376.762905098003102,32.000000000000000,532985.971973279956728,182376.762905098003102,0.046347307934449,0.119551681195517,"43"
"Central House, Aldgate",534002.472571410005912,181348.195220233988948,33.000000000000000,534002.472571410005912,181348.195220233988948,0.016380036079719,0.074719800747198,"18"
"Pancras Road, King's Cross",529837.242999966954812,183345.488751258002594,34.000000000000000,529837.242999966954812,183345.488751258002594,0.019089702867292,0.077210460772105,"16"
"De Vere Gardens, Kensington",526073.272576991003007,179650.130818359000841,35.000000000000000,526073.272576991003007,179650.130818359000841,0.015632203720483,0.077210460772105,"28"
"Penywern Road, Earl's Court",525587.391807732055895,178512.195851758006029,36.000000000000000,525587.391807732055895,178512.195851758006029,0.007388032690513,0.127023661270237,"17"
"Abingdon Villas, Kensington",525233.782490646000952,179149.703423300990835,37.000000000000000,525233.782490646000952,179149.703423300990835,0.008126789702562,0.054794520547945,"17"
"Shoreditch High Street, Shoreditch",533424.616129106027074,182579.642087641987018,38.000000000000000,533424.616129106027074,182579.642087641987018,0.052963966988189,0.164383561643836,"41"
"Commercial Street, Shoreditch",533615.793931841035374,182020.005432553007267,39.000000000000000,533615.793931841035374,182020.005432553007267,0.018359259487962,0.070983810709838,"16"
"Pindar Street, Liverpool Street",533062.311184328049421,181968.565272779000225,40.000000000000000,533062.311184328049421,181968.565272779000225,0.049589899236257,0.085927770859278,"24"
