Start.station,End.station,Counts
"Waterloo Station 3, Waterloo","Cheapside, Bank",28
"Ackroyd Drive, Bow","Maplin Street, Mile End",26
"Monier Road, Hackney Wick","Stratford Station, Stratford",23
"Waterloo Station 3, Waterloo","Finsbury Circus, Liverpool Street",20
"Gunmakers Lane, Old Ford","Maplin Street, Mile End",18
"Clapham Common North Side, Clapham Common","Clapham Common Station, Clapham Common",17
"Waterloo Station 3, Waterloo","Wormwood Street, Liverpool Street",16
"Southwick Street, Paddington","Exhibition Road, Knightsbridge",15
"Rainville Road, Hammersmith","Barons Court Station, West Kensington",15
"Belgrove Street , King's Cross","Red Lion Street, Holborn",15
"Curlew Street, Shad Thames","Duke Street Hill, London Bridge",14
"Waterloo Station 3, Waterloo","Queen Street 1, Bank",14
"Wormwood Street, Liverpool Street","New Kent Road, The Borough",14
"Waterloo Station 3, Waterloo","Godliman Street, St. Paul's",13
"Drayton Gardens, West Chelsea","Gloucester Road Station, South Kensington",13
"Wormwood Street, Liverpool Street","Whitehall Place, Strand",13
"Humbolt Road, Fulham","Barons Court Station, West Kensington",13
"Stainsby Road , Poplar","Westferry DLR, Limehouse",13
"Waterloo Station 3, Waterloo","New Fetter Lane, Holborn",12
"Waterloo Station 3, Waterloo","Queen Victoria Street, St. Paul's",12
"Waterloo Station 2, Waterloo","Wormwood Street, Liverpool Street",12
"Manbre Road, Hammersmith","Barons Court Station, West Kensington",12
"Belgrove Street , King's Cross","Whitehall Place, Strand",12
"Jubilee Crescent, Cubitt Town","Upper Bank Street, Canary Wharf",12
"Monier Road, Hackney Wick","Aquatic Centre, Queen Elizabeth Olympic Park",12
"Richmond Way, Shepherd's Bush","Woodstock Grove, Shepherd's Bush",12
"Waterloo Station 3, Waterloo","Norton Folgate, Liverpool Street",11
"Prince of Wales Drive, Battersea Park","Battersea Park Road, Nine Elms",11
"Waterloo Station 3, Waterloo","Moorfields, Moorgate",11
"Waterloo Station 3, Waterloo","Tallis Street, Temple",11
"Hewison Street, Old Ford","Maplin Street, Mile End",11
"Sugden Road, Clapham","Clapham Common Station, Clapham Common",11
"Courland Grove, Wandsworth Road","Binfield Road, Stockwell",10
"Falcon Road, Clapham Junction","Westbridge Road, Battersea",10
"Haggerston Road, Haggerston","Handyside Street, King's Cross",10
"Belgrove Street , King's Cross","Abbey Orchard Street, Westminster",10
"Southwick Street, Paddington","Prince Consort Road, Knightsbridge",10
"Waterloo Station 3, Waterloo","St. Bride Street, Holborn",10
"Waterloo Station 3, Waterloo","Queen Street 2, Bank",10
"Waterloo Station 3, Waterloo","Great Tower Street, Monument",10
"Waterloo Station 3, Waterloo","Newgate Street , St. Paul's",10
"Duke Street Hill, London Bridge","Moorfields, Moorgate",10
"Waterloo Station 3, Waterloo","Bunhill Row, Moorgate",10
"South Park, Sands End","Parsons Green Station, Parsons Green",9
"Union Grove, Wandsworth Road","Binfield Road, Stockwell",9
"Shoreditch Court, Haggerston","Brushfield Street, Liverpool Street",9
"Simpson Street, Clapham Junction","Falcon Road, Clapham Junction",9
"Waterloo Station 1, Waterloo","Blackfriars Station, St. Paul's",9
"Black Lion Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens",9
"West Kensington Station, West Kensington","Natural History Museum, South Kensington",9
"Ford Road, Old Ford","Maplin Street, Mile End",9
"Waterloo Station 2, Waterloo","Cheapside, Bank",9
"Rampayne Street, Pimlico","Upcerne Road, West Chelsea",9
"Waterloo Station 3, Waterloo","Breams Buildings, Holborn",9
"Albany Street, The Regent's Park","Park Road (Baker Street), The Regent's Park",9
"Waterloo Station 3, Waterloo","The Guildhall, Guildhall",9
"Waterloo Station 3, Waterloo","Blackfriars Station, St. Paul's",9
"Clarendon Road, Avondale","Lansdowne Road, Ladbroke Grove",9
"Ethelburga Estate, Battersea Park","Millbank Tower, Pimlico",9
"Belgrove Street , King's Cross","Wells Street, Fitzrovia",8
"Sandilands Road, Walham Green","Fulham Broadway, Walham Green",8
"Belgrove Street , King's Cross","St. James's Square, St. James's",8
"Dock Street, Wapping","Wormwood Street, Liverpool Street",8
"Bethnal Green Road, Shoreditch","Wormwood Street, Liverpool Street",8
"Belgrove Street , King's Cross","Smith Square, Westminster",8
"Northington Street , Holborn","Bunhill Row, Moorgate",8
"Macclesfield Rd, St Lukes","Finsbury Circus, Liverpool Street",8
"Austin Road, Battersea Park","Battersea Park Road, Nine Elms",8
"St. George's Square, Pimlico","St. James's Square, St. James's",8
"Waterloo Station 1, Waterloo","Wormwood Street, Liverpool Street",8
"Alderney Street, Pimlico","Exhibition Road, Knightsbridge",8
"Lightermans Road, Millwall","Jubilee Crescent, Cubitt Town",8
"Waterloo Station 3, Waterloo","Old Street Station, St. Luke's",8
"Strata, Elephant & Castle","Strata, Elephant & Castle",8
"Waterloo Station 3, Waterloo","Brushfield Street, Liverpool Street",8
"Jubilee Street, Stepney","Royal London Hospital, Whitechapel",8
"Tower Wharf, Bermondsey","Duke Street Hill, London Bridge",8
"Waterloo Station 2, Waterloo","Farringdon Street, Holborn",8
"Duke Street Hill, London Bridge","Brushfield Street, Liverpool Street",8
"Waterloo Station 3, Waterloo","Green Park Station, Mayfair",8
"Twig Folly Bridge, Mile End","Moorfields, Moorgate",8
"Waterloo Station 3, Waterloo","Hatton Garden, Holborn",7
"Boston Place, Marylebone","Holborn Circus, Holborn",7
"Finsbury Leisure Centre, St. Luke's","Worship Street, Shoreditch",7
"Waterloo Station 3, Waterloo","Leonard Circus , Shoreditch",7
"Ilchester Gardens, Bayswater","Eastbourne Mews, Paddington",7
"Finsbury Circus, Liverpool Street","Chancery Lane, Holborn",7
"Saunders Ness Road, Cubitt Town","Jubilee Plaza, Canary Wharf",7
"Waterloo Station 3, Waterloo","Museum of London, Barbican",7
"Waterloo Station 3, Waterloo","Fore Street, Guildhall",7
"Aintree Street, Fulham","Barons Court Station, West Kensington",7
"Putney Pier, Wandsworth","Putney Bridge Station, Fulham",7
"Globe Town Market, Bethnal Green","Roscoe Street, St. Luke's",7
"Waterloo Station 1, Waterloo","Newgate Street , St. Paul's",7
