Start.station,End.station,Counts
"Ackroyd Drive, Bow","Maplin Street, Mile End",98
"Waterloo Station 3, Waterloo","Newgate Street , St. Paul's",85
"Rainville Road, Hammersmith","Barons Court Station, West Kensington",77
"Waterloo Station 3, Waterloo","New Fetter Lane, Holborn",70
"Waterloo Station 3, Waterloo","Cheapside, Bank",68
"Humbolt Road, Fulham","Barons Court Station, West Kensington",65
"Waterloo Station 3, Waterloo","Wormwood Street, Liverpool Street",59
"Jubilee Crescent, Cubitt Town","Upper Bank Street, Canary Wharf",58
"Waterloo Station 3, Waterloo","Queen Street 1, Bank",56
"Monier Road, Hackney Wick","Stratford Station, Stratford",56
"Belgrove Street , King's Cross","Red Lion Street, Holborn",52
"Waterloo Station 3, Waterloo","St. Bride Street, Holborn",52
"Waterloo Station 3, Waterloo","Finsbury Circus, Liverpool Street",50
"Richmond Way, Shepherd's Bush","Woodstock Grove, Shepherd's Bush",47
"Monier Road, Hackney Wick","Aquatic Centre, Queen Elizabeth Olympic Park",46
"Wormwood Street, Liverpool Street","New Kent Road, The Borough",46
"Waterloo Station 3, Waterloo","Monument Street, Monument",45
"Waterloo Station 3, Waterloo","Museum of London, Barbican",44
"Waterloo Station 3, Waterloo","Moorfields, Moorgate",44
"Sandilands Road, Walham Green","Fulham Broadway, Walham Green",44
"Wormwood Street, Liverpool Street","Whitehall Place, Strand",43
"Clapham Common North Side, Clapham Common","Clapham Common Station, Clapham Common",43
"Waterloo Station 3, Waterloo","Worship Street, Shoreditch",43
"Courland Grove, Wandsworth Road","Binfield Road, Stockwell",43
"Waterloo Station 3, Waterloo","Breams Buildings, Holborn",42
"Waterloo Station 3, Waterloo","Hatton Garden, Holborn",42
"Stainsby Road , Poplar","Westferry DLR, Limehouse",41
"Waterloo Station 3, Waterloo","Queen Victoria Street, St. Paul's",40
"Waterloo Station 3, Waterloo","Wood Street, Guildhall",40
"Wenlock Road , Hoxton","Hatton Garden, Holborn",40
"Belgrove Street , King's Cross","Wells Street, Fitzrovia",39
"South Park, Sands End","Parsons Green Station, Parsons Green",38
"Hewison Street, Old Ford","Bow Road Station, Bow",38
"Waterloo Station 3, Waterloo","Stonecutter Street, Holborn",38
"Albert Gardens, Stepney","Sutton Street, Shadwell",37
"Waterloo Station 3, Waterloo","Bunhill Row, Moorgate",37
"Waterloo Station 3, Waterloo","Great Tower Street, Monument",37
"Southwark Station 2, Southwark","Farringdon Street, Holborn",36
"Belgrove Street , King's Cross","Abbey Orchard Street, Westminster",36
"Waterloo Station 3, Waterloo","Snow Hill, Farringdon",36
"Waterloo Station 1, Waterloo","Queen Victoria Street, St. Paul's",36
"Waterloo Station 3, Waterloo","The Guildhall, Guildhall",36
"Bethnal Green Road, Shoreditch","Fore Street, Guildhall",36
"Waterloo Station 3, Waterloo","West Smithfield Rotunda, Farringdon",36
"Hewison Street, Old Ford","Maplin Street, Mile End",35
"Waterloo Station 3, Waterloo","Tallis Street, Temple",35
"Waterloo Station 3, Waterloo","Farringdon Street, Holborn",35
"Bancroft Road, Bethnal Green","Stepney Green Station, Stepney",35
"Holden Street, Battersea","Battersea Park Road, Nine Elms",35
"Waterloo Station 3, Waterloo","High Holborn , Covent Garden",34
"Belgrove Street , King's Cross","St. James's Square, St. James's",34
