fclass,type
arts_centre,leisure
artwork,leisure
atm,finance
attraction,leisure
bakery,shopping
bank,finance
bicycle_shop,shopping
cinema,leisure
college,university
convenience,shopping
doityourself,shopping
hotel,residence
laundry,shopping
memorial,residence
monument,leisure
museum,leisure
playground,leisure
restaurant,restaurant
sports_centre,leisure
supermarket,shopping
theatre,leisure
tourist_info,leisure
university,university
viewpoint,leisure
archaeological,leisure
beauty_shop,shopping
bookshop,shopping
butcher,shopping
clothes,shopping
computer_shop,shopping
convenience,shopping
courthouse,residence
department_store,shopping
fountain,leisure
furniture_shop,shopping
garden_centre,leisure
gift_shop,shopping
greengrocer,shopping
hairdresser,leisure
hotel,residence
jeweller,shopping
mall,shopping
market_place,shopping
mobile_phone_shop,shopping
outdoor_shop,shopping
park,leisure
picnic_site,leisure
shoe_shop,shopping
stationery,shopping
toy_shop,shopping
travel_agent,leisure
video_shop,shopping
