osm_id,code,fclass,name,index,type
21685700,2602,atm,Tesco,"Farringdon Street, Holborn",finance
25474641,2203,cinema,Barbican Centre (Cinema),"Barbican Centre, Barbican",leisure
25507018,2724,memorial,Royal Tank Regiment Memorial,"Northumberland Avenue, Strand",residence
25507022,2724,memorial,Anglo-Belgian War Memorial,"Embankment (Savoy), Strand",residence
25507034,2724,memorial,Battle of Britain Memorial,"Westminster Pier, Westminster",residence
25508657,2725,artwork,,"Russell Square Station, Bloomsbury",leisure
25524252,2721,attraction,Blewcoat School,"Buckingham Gate, Westminster",leisure
25544124,2511,convenience,Tesco Express,"William IV Street, Strand",shopping
26573161,2203,cinema,Odeon Mezzanine,"Panton Street, West End",leisure
26573168,2203,cinema,Cineworld Leicester Square,"Panton Street, West End",leisure
26610587,2723,monument,The Good Mixer,"Arlington Road, Camden Town",leisure
26618618,2501,supermarket,M&S Foodhall,"Greenland Road, Camden Town",shopping
26659113,2511,convenience,Sainsbury's Local,"Hatton Garden, Holborn",shopping
26671967,2203,cinema,ODEON Luxe Haymarket,"Charles II Street, West End",leisure
26699541,2203,cinema,Curzon Soho,"Frith Street, Soho",leisure
26816010,2081,university,St Bartholomew's and the Royal London School of Medicine and Dentistry,"Berry Street, Clerkenwell",university
26817795,2511,convenience,Tesco Express,"Dorset Square, Marylebone",shopping
26819169,2501,supermarket,Waitrose,"Bishop's Bridge Road West, Bayswater",shopping
26845558,2301,restaurant,Old Tree Daiwan Bee,"Panton Street, West End",restaurant
27084532,2725,artwork,Cabot Square Railings,"Fisherman's Walk West, Canary Wharf",leisure
29269886,2722,museum,Madame Tussauds,"Westminster University, Marylebone",leisure
31314241,2401,hotel,DoubleTree by Hilton Hotel London - Marble Arch,"Old Quebec Street, Marylebone",residence
34578754,2511,convenience,Tesco Express,"Penfold Street, Marylebone",shopping
59931333,2401,hotel,easyHotel Victoria,"Gloucester Street, Pimlico",residence
60124508,2724,memorial,William Booth,"Ansell House, Stepney",residence
60277007,2724,memorial,Leonard Montefiore,"Rectory Square, Stepney",residence
60661040,2511,convenience,Tesco Express,"Brunswick Square, Bloomsbury",shopping
64698462,2602,atm,,"South Wharf Road, Paddington",finance
94243629,2724,memorial,William Booth,"Ansell House, Stepney",residence
95989441,2723,monument,Edward VII,"Ansell House, Stepney",leisure
96229448,2301,restaurant,Mithai Ghar,"Old Montague Street, Whitechapel",restaurant
132957893,2301,restaurant,Alba,"Gauden Road, Clapham",restaurant
133191330,2511,convenience,Co-op Food,"Stepney Green Station, Stepney",shopping
137790430,2511,convenience,Dhara News,"Stepney Green Station, Stepney",shopping
137790992,2511,convenience,Cost u Less,"Stepney Green Station, Stepney",shopping
137791776,2511,convenience,Stepney Fruit & Veg,"Stepney Green Station, Stepney",shopping
142436112,2511,convenience,Cambridge Supermarket,"Cephas Street, Bethnal Green",shopping
142528191,2543,doityourself,Leyland SDM,"Cleveland Way, Stepney",shopping
169355678,2301,restaurant,Bon Gusto,"Buckingham Gate, Westminster",restaurant
169368767,2301,restaurant,Bank Restaurant & Bar,"Buckingham Gate, Westminster",restaurant
169373136,2568,laundry,Prime Dry Cleaners,"Buckingham Gate, Westminster",shopping
180403503,2301,restaurant,Spaghetti House,"Bury Place, Holborn",restaurant
203724940,2511,convenience,Riverside General Store,"Garnet Street, Shadwell",shopping
206181000,2701,tourist_info,,"Lord's, St. John's Wood",leisure
207639305,2724,memorial,Cavalry Memorial,"Albert Gate, Hyde Park",residence
244056695,2511,convenience,A-Z Grocers,"Bethnal Green Road, Shoreditch",shopping
245779356,2542,bicycle_shop,Apex Cycles,"Gauden Road, Clapham",shopping
245955704,2203,cinema,The Ritzy,"Saltoun Road, Brixton",leisure
246112128,2601,bank,Barclays,"Clapham Common Station, Clapham Common",finance
246518191,2201,theatre,Piccadilly Comedy Club,"Charles II Street, West End",leisure
247956786,2502,bakery,Bread Ahead at The Southwark Cathedral Cafe,"Duke Street Hill, London Bridge",shopping
