index,finance,leisure,residence,restaurant,shopping,university
"Abbey Orchard Street, Westminster",0.00001,3,4,7,9,0.00001
"Abbotsbury Road, Holland Park",0.00001,6,1,0.00001,0.00001,0.00001
"Aberdeen Place, St. John's Wood",0.00001,4,2,4,7,0.00001
"Aberfeldy Street, Poplar",1,1,0.00001,0.00001,3,0.00001
"Abingdon Green, Westminster",1,9,4,3,2,0.00001
"Abingdon Villas, Kensington",0.00001,5,4,3,6,0.00001
"Ackroyd Drive, Bow",0.00001,9,0.00001,0.00001,1,0.00001
"Ada Street, Hackney Central",1,2,0.00001,5,11,0.00001
"Addison Road, Holland Park",0.00001,0.00001,3,0.00001,0.00001,0.00001
"Aintree Street, Fulham",0.00001,0.00001,0.00001,0.00001,3,0.00001
"Albany Street, The Regent's Park",1,4,3,0.00001,10,0.00001
"Albert Bridge Road, Battersea Park",1,1,2,1,7,0.00001
"Albert Embankment, Vauxhall",2,0.00001,1,2,0.00001,0.00001
"Albert Gardens, Stepney",0.00001,1,0.00001,0.00001,2,0.00001
"Albert Gate, Hyde Park",0.00001,2,3,5,5,0.00001
"Albert Square, Stockwell",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Alderney Street, Pimlico",0.00001,4,5,1,11,0.00001
"Aldersgate Street, Barbican",0.00001,5,0.00001,2,7,1
"Alfreda Street, Battersea Park",2,0.00001,0.00001,3,8,0.00001
"All Saints Church, Portobello",1,2,1,9,29,0.00001
"All Saints' Road, Portobello",1,6,4,4,12,0.00001
"Allington Street, Victoria",4,6,2,22,15,0.00001
"Alma Road, Wandsworth",2,3,1,1,7,0.00001
"Alpha Grove, Millwall",0.00001,0.00001,1,0.00001,2,0.00001
"Ampton Street , Clerkenwell",1,0.00001,2,1,0.00001,0.00001
"Ansell House, Stepney",2,3,4,4,4,0.00001
"Antill Road, Mile End",1,7,1,0.00001,1,0.00001
"Archbishop's Park, Waterloo",0.00001,12,0.00001,0.00001,1,0.00001
"Argyll Road, Kensington",7,6,2,10,22,0.00001
"Arlington Road, Camden Town",4,4,3,19,36,0.00001
"Arundel Street, Temple",1,14,5,1,0.00001,0.00001
"Ashley Crescent, Battersea",3,9,0.00001,15,18,0.00001
"Ashley Place, Victoria",0.00001,0.00001,1,2,4,0.00001
"Ashmole Estate, Oval",0.00001,5,0.00001,0.00001,1,0.00001
"Aston Street, Stepney",0.00001,4,1,0.00001,1,0.00001
"Austin Road, Battersea Park",0.00001,2,0.00001,3,4,0.00001
"Baker Street, Marylebone",2,8,9,17,38,0.00001
"Baldwin Street, St. Luke's",6,2,2,7,13,0.00001
"Bancroft Road, Bethnal Green",0.00001,0.00001,1,0.00001,2,0.00001
"Bank of England Museum, Bank",9,11,10,9,15,1
"Bankside Mix, Bankside",2,4,1,5,4,0.00001
"Barbican Centre, Barbican",0.00001,22,1,7,1,0.00001
"Barons Court Station, West Kensington",2,1,2,0.00001,0.00001,0.00001
"Bath Street, St. Luke's",1,3,0.00001,3,1,0.00001
"Battersea Church Road, Battersea",0.00001,0.00001,1,1,1,0.00001
"Battersea Park Road, Nine Elms",0.00001,1,0.00001,0.00001,1,0.00001
"Battersea Power Station, Battersea Park",0.00001,5,0.00001,9,2,0.00001
"Bayley Street , Bloomsbury",6,3,13,7,6,0.00001
"Baylis Road, Waterloo",5,6,0.00001,11,11,0.00001
"Bayswater Road, Hyde Park",0.00001,1,1,5,2,0.00001
"BBC White City, White City",0.00001,1,0.00001,2,3,0.00001
"Beaumont Street, Marylebone",0.00001,4,8,4,18,0.00001
"Bedford Way, Bloomsbury",2,6,14,6,3,7
"Belford House, Haggerston",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Belgrave Road, Victoria",2,6,8,4,6,0.00001
"Belgrave Square, Belgravia",0.00001,6,6,0.00001,0.00001,0.00001
"Belgrove Street , King's Cross",8,9,29,9,11,0.00001
"Bell Lane, Liverpool Street",3,17,1,18,13,2
"Bell Street , Marylebone",1,1,1,2,7,0.00001
"Belvedere Road 1, South Bank",0.00001,11,1,14,2,0.00001
"Belvedere Road 2, South Bank",1,0.00001,0.00001,1,0.00001,0.00001
"Bermondsey Station, Bermondsey",1,1,0.00001,0.00001,7,0.00001
"Bermondsey Street, Bermondsey",2,8,2,13,9,0.00001
"Berry Street, Clerkenwell",0.00001,6,1,3,1,1
"Beryl Road, Hammersmith",0.00001,0.00001,0.00001,3,1,0.00001
"Bethnal Green Garden, Bethnal Green",1,2,0.00001,1,0.00001,0.00001
"Bethnal Green Road, Shoreditch",1,9,0.00001,8,4,0.00001
"Bevington Road West, North Kensington",1,8,0.00001,8,22,0.00001
"Binfield Road, Stockwell",2,3,0.00001,1,5,0.00001
"Birkenhead Street, King's Cross",3,1,2,6,5,0.00001
"Bishop's Avenue, Fulham",0.00001,1,0.00001,0.00001,1,0.00001
"Bishop's Bridge Road East, Bayswater",0.00001,1,1,0.00001,0.00001,0.00001
"Bishop's Bridge Road West, Bayswater",0.00001,4,0.00001,12,11,0.00001
"Black Lion Gate, Kensington Gardens",0.00001,7,5,12,7,0.00001
"Black Prince Road, Vauxhall",0.00001,2,0.00001,0.00001,2,0.00001
"Blackfriars Road, Southwark",1,1,0.00001,7,2,0.00001
"Blackfriars Station, St. Paul's",2,4,4,5,1,0.00001
"Blenheim Crescent, Ladbroke Grove",0.00001,0.00001,2,4,9,0.00001
"Blythe Road West, Shepherd's Bush",0.00001,4,2,6,6,0.00001
"Blythe Road, Olympia",0.00001,1,0.00001,4,8,0.00001
