index,x,y,station_id,residuals4,residuals3,residuals2,residuals1
"River Street , Clerkenwell",531204.957571767,182826.87438858897,1.0,-0.0049313136511964124,-0.00404683614225859,-0.030985671031673795,-0.017396656262517088
"Phillimore Gardens, Kensington",525203.530182866,179389.872735228,2.0,0.008337474304035922,0.001771018836681574,0.09114313533988441,0.012826488059182031
"Christopher Street, Liverpool Street",532984.115423573,182001.761003436,3.0,-0.01522905243559233,0.02104931107265308,-0.05679363398324036,0.0037438023936512965
"St. Chad's Street, King's Cross",530435.41311397,182912.683769038,4.0,0.0024232328477565915,-0.004833087668589468,-0.028085427573411176,-0.043143933403586354
"Sedding Street, Sloane Square",528051.439095636,178742.19445576,5.0,0.011499196735681082,0.018397568863787947,0.13119102986037326,0.05310622805073942
"Broadcasting House, Marylebone",528861.063697691,181543.51463239297,6.0,0.012104535070120742,0.016153085870244402,0.042175322923339476,0.021486651108086507
"Charlbert Street, St. John's Wood",527154.489411764,183297.832175365,7.0,0.0029534318597015143,-0.0014282352620094332,-0.008121486721529902,0.025608421558356922
"Maida Vale, Maida Vale",526107.797309316,182785.556644127,8.0,0.008735129075457697,-0.010545471041249003,0.035932662805804344,0.01757521099011694
"New Globe Walk, Bankside",532200.4832765369,180434.756796456,9.0,-0.0070190544068089965,0.006549950874858018,-0.055055396028248826,-0.011347379822192083
"Park Street, Bankside",532460.306559582,180284.137735697,10.0,-0.008647510297561355,-0.013834357297901188,-0.08838346539059685,-0.04521726913397836
"Brunswick Square, Bloomsbury",530351.782854378,182231.31269203496,11.0,0.0184481056317332,0.020873489385360783,0.09093987298692938,-0.009538922606173186
"Malet Street, Bloomsbury",529798.73995559,181959.51347555497,12.0,0.006908851252652483,0.015547223702242083,0.09829603300413903,0.03342761451239919
"Scala Street, Fitzrovia",529421.521726611,181754.375523082,13.0,-0.003604533049487244,0.02231866453576952,0.002344332532428134,-0.019753356873519118
"Belgrove Street , King's Cross",530250.189387028,182892.243952868,14.0,0.04082048185828979,-0.030040778743469485,0.05709215265188583,0.09114182991669667
"Great Russell Street, Bloomsbury",529992.671338642,181531.300368896,15.0,-0.0029523518922261183,0.00927905344373843,0.0009385339492009592,-0.006893791339786515
"Cartwright Gardens , Bloomsbury",530096.390561365,182489.384900453,16.0,0.005331864334267522,0.019722061510575668,0.040352076466497244,0.010830850936099548
"Hatton Wall, Holborn",531294.621763602,182002.460349627,17.0,0.013073851722370293,0.04599462404554183,0.09585413795895012,0.08485550101791747
"Drury Lane, Covent Garden",530390.779404385,181206.913906888,18.0,0.06894980143577721,0.03711182426423061,0.32104382220001887,0.052658340590885866
"Taviton Street, Bloomsbury",529744.489272031,182337.24868997,19.0,0.012835753078677799,-0.004314987053580993,0.06666628580406109,0.019728300445127564
"Drummond Street , Euston",529395.009905378,182585.43373367697,20.0,-0.007816508532465669,-0.029178264566509376,-0.11277152822152486,-0.022837348955729406
"Lansdowne Drive, Hackney Central",534440.470789519,184103.486562737,21.0,0.0033274322398973225,-0.00457446492618559,-0.027826669380414504,0.015634561580020717
"Northington Street , Holborn",530934.505810079,182061.659535295,22.0,-0.006364128999407269,0.02103808901291921,-0.007696805420662534,-0.00645158862927811
"Red Lion Square, Holborn",530598.349359577,181735.36701139496,23.0,-0.01773882212639128,-0.02262591252265381,-0.10184685831858623,-0.0789486889439791
"British Museum, Bloomsbury",530214.78427842,181687.75057060696,24.0,-0.0075908786617992705,-0.02403707641395459,-0.07177618220546556,-0.09638008539302008
"Doric Way , Somers Town",529658.188558382,182754.224471841,25.0,-0.0010417468796826979,-0.028292996908162064,-0.056919871788263965,-0.028392263500967158
"Ampton Street , Clerkenwell",530631.70793911,182602.725895929,26.0,-0.01074037849959025,-0.006711399194797385,-0.05151329339461583,-0.03411279354994377
"Bouverie Street, Temple",531388.96113875,181129.527427327,27.0,-0.013859488424050874,0.013785233336702,-0.02334685422595001,0.004177127710226741
"Bolsover Street, Fitzrovia",528886.884994947,182145.191779499,28.0,-0.005335492567882863,-0.00691564196153692,-0.014487560369591812,-0.0015112160554222598
"Hereford Road, Bayswater",525448.98372484,180969.32654305696,29.0,-0.005877221958110912,-0.006965054827445926,-0.031233490172871553,-0.001070685092124879
"Windsor Terrace, Hoxton",532347.133815433,182860.123039711,30.0,0.0028309882803107984,-0.004926945607587739,-0.014436388164483366,-0.009385181996317118
"Fanshaw Street, Hoxton",533047.2089655369,182921.317506944,31.0,0.019059688510625655,0.02429197711688077,0.09878294727057829,0.036536315698274355
"Leonard Circus , Shoreditch",532985.97197328,182376.762905098,32.0,0.00033692315449167926,0.010029133945041568,-0.006301073530618123,0.0007302100864709504
"Central House, Aldgate",534002.47257141,181348.195220234,33.0,0.009944951865587484,-0.014628514110065785,0.01809752011015031,-0.03623833628106944
"Pancras Road, King's Cross",529837.242999967,183345.488751258,34.0,-0.0024704382229635523,-0.008106295425683155,-0.05683440372538022,-0.005672976694730936
"De Vere Gardens, Kensington",526073.272576991,179650.130818359,35.0,-0.006656127324583087,-0.018020138902698473,-0.035039988604322087,-0.03611133143574867
"Penywern Road, Earl's Court",525587.391807732,178512.195851758,36.0,0.0015097565152416073,-0.007043173702608522,0.057084596403582905,0.032828725585790586
"Abingdon Villas, Kensington",525233.782490646,179149.703423301,37.0,-0.010008662656781561,-0.019101322317858348,-0.052939514767289975,-0.03764524163158926
"Shoreditch High Street, Shoreditch",533424.616129106,182579.642087642,38.0,0.026567059527889285,0.021513153319966068,0.13624421840625492,0.03966058673574564
"Commercial Street, Shoreditch",533615.7939318409,182020.005432553,39.0,0.0034105224920263286,-0.013515426724097956,-0.0015706311096323478,-0.03313667721444502
"Pindar Street, Liverpool Street",533062.311184328,181968.565272779,40.0,-0.0196889858481683,0.016026739697218136,-0.0916238911397948,-0.01280318774553682
"Wenlock Road , Hoxton",532306.402924617,183062.78726409096,41.0,0.01829579281240922,0.009444364518064973,0.09115514663645749,0.0536397800145435
"Crawford Street, Marylebone",527953.837187878,181752.59915116697,42.0,0.00389304091189345,0.01148215356950116,0.054663699906543434,0.03757299099130264
"Bruton Street, Mayfair",528880.3047933129,180723.996524774,43.0,-0.01168979478442126,-0.012202450782882283,-0.0901400728450536,-0.05235023693668374
"Boston Place, Marylebone",527593.3191153889,182000.533053123,44.0,0.023415433948123475,-0.011487986958448639,0.05659652482497335,0.09650957937329618
"Nesham Street, Wapping",534249.341376323,180467.134931912,45.0,0.02789069642962952,0.00780213226863969,0.11284861719903155,0.04935569377354307
"Warwick Avenue Station, Maida Vale",526092.3964710609,182056.13698687297,46.0,0.006968371796143916,-0.01355027504124866,0.013469889658803746,0.030908780397141372
"Godliman Street, St. Paul's",532005.452526497,180996.88733874296,47.0,-0.0023701713206951795,0.004383190160500754,-0.03576255448834659,-0.01246352972108035
"Curzon Street, Mayfair",528769.5789668369,180314.093496067,48.0,0.00011058773582345305,0.018931279364999384,0.04279468276261081,0.02293686936322105
"East Road, Hoxton",532757.589711836,182819.66018985497,49.0,-0.005575037662698928,0.004000259653772884,-0.006858421919238661,-0.0049916965455424345
"Finsbury Library , Finsbury",531602.512747807,182564.957739675,50.0,-0.0005197263676247621,0.018975276294083222,-0.000600221232359921,-0.018599394011426185
"Roscoe Street, St. Luke's",532256.340869079,182165.843277003,51.0,0.008085099369861556,0.016795098931788127,0.02720359444160103,0.02141539162968331
"Grafton Street, Mayfair",528933.064764512,180636.588990235,52.0,-0.0028472870383195147,0.00547782600158038,-0.011629492327939916,-0.01846572533998503
"Golden Lane, Barbican",532303.1404028392,182036.324288911,53.0,0.008122816128248379,0.012734582568734857,0.024206815371022344,0.010950113175649923
"Finsbury Circus, Liverpool Street",532848.2605068489,181532.18270781,54.0,0.011895033619488245,0.06811837174401136,0.10702326827998077,0.17616573721594161
"Paddington Street, Marylebone",528124.614277994,181796.310490989,55.0,0.007311442081307549,0.01907602919895575,0.08798817704475881,0.041676928819799564
"Guilford Street , Bloomsbury",530507.603308872,182169.53210663496,56.0,0.018370467054144808,0.049684071003759996,0.14066644445732793,0.06858872111334777
"Lisson Grove, St. John's Wood",526893.537252466,182420.030225108,57.0,-0.010382712604486317,-0.0026016275878013332,-0.05322292194758178,-0.03789330059604281
"Great Dover Street, The Borough",532713.814949319,179331.669209421,58.0,0.023427452318564326,0.0039462368500809645,0.07154655929821693,0.020034971828671103
"Cotton Garden Estate, Kennington",531570.709353384,178559.879683479,59.0,-0.0037801278569584255,3.7242413215409637e-06,-0.04928936468145127,-0.005958746290103609
"Murray Grove , Hoxton",532599.029203598,183051.396168156,60.0,0.0012900937111562788,0.010709263150328736,0.02110559352437555,0.02324994180866148
"William IV Street, Strand",530232.8401601369,180616.698528828,61.0,0.039825520073074674,0.04892715903360227,0.18273212313220727,0.08009146596664035
"Gower Place , Euston",529466.2615030729,182344.974411312,62.0,-0.0026236568924476213,0.004264341507973508,0.03380860355406043,-0.02593909756778333
"Holborn Circus, Holborn",531324.0238593072,181581.125118948,63.0,0.010742365025278998,0.08385327045482646,0.16743651897495132,0.10838506095947306
"Hatton Garden, Holborn",531372.0467179,181686.926321858,64.0,-0.0049086916281593646,0.035334431177835954,0.01009690552580178,0.026474063799468733
"Theobald's Road , Holborn",530757.925688982,181873.02436541097,65.0,0.012196677680191361,0.02523136315284866,0.08432585298405512,0.03757238387549808
"Euston Road, Euston",529520.2458623148,182453.67381031896,66.0,-0.006139623867537601,-0.029162254060508885,-0.10651674159901844,-0.020553560487172925
"Calshot Street , King's Cross",530709.243740585,183064.250965348,67.0,-0.014248086996736596,-0.006968470147410074,-0.07847306951120063,-0.05781268186269232
"Newgate Street , St. Paul's",532010.93780254,181318.643904326,68.0,0.005511959681473395,0.07556142415025026,0.14078677598813458,0.1027381008725447
"Farringdon Lane, Clerkenwell",531332.231237205,182209.291928035,69.0,0.0027611308859357003,0.013109871941008891,0.022853709527485416,0.0033038131732373716
"Old Street Station, St. Luke's",532621.476193954,182457.722370286,70.0,0.03754350323366002,0.04905325724010497,0.25358991765645655,0.08460435259239964
"Vauxhall Cross, Vauxhall",530322.388847134,177995.752432846,71.0,0.017577208143818003,0.01592272183810162,0.13412343249784825,0.06866239909715238
"Torrens Street, Angel",531502.6591367872,183173.43206003297,72.0,-0.005840020801776938,-0.026978223767637012,-0.0904254176457766,-0.07013483148694107
"Longford Street, The Regent's Park",528845.597073624,182381.349983452,73.0,-0.009129571508484459,-0.005115539661540061,-0.03800824308191875,-0.023928115427435115
"Russell Square Station, Bloomsbury",530229.511121556,182164.84737976696,74.0,0.017548010403233727,0.029334920976845445,0.09721101401575802,0.011238402775915507
"Sadlers Sports Centre, Finsbury",531946.788105609,182374.53501523696,75.0,0.009210565478131042,0.02956696827628292,0.06482955207624633,0.029353084798183493
"Arundel Street, Temple",530978.225998551,180884.26812020296,76.0,-0.015180194755977289,-0.012600801574865504,-0.09836190335949108,-0.06590301860779912
"Webber Street , Southwark",531831.2797939009,179689.471475275,77.0,0.013778796274115785,0.01883510483731087,0.040247518650475156,0.04053629608744405
"Great Titchfield Street, Fitzrovia",529048.465144867,181784.11414323497,78.0,-0.0011358507762476676,0.03783281088132585,0.06632919092565218,0.029168549720505435
"Chancery Lane, Holborn",531159.151111666,181174.57924005497,79.0,0.0038655821996976744,0.01655384496737106,-0.004798455460397255,-0.007556225697583463
"Panton Street, West End",529765.455658193,180618.75179520497,80.0,0.009975281296730441,-0.010037928744700567,0.029788024977243754,-0.04022437336892912
"Breams Buildings, Holborn",531115.126366272,181354.977105511,81.0,-0.004707508037006192,0.023921640887191654,0.03349827983284376,0.013392721470423335
"Tanner Street, Bermondsey",533463.089015833,179724.508465648,82.0,0.009685333166848775,0.004413462536948354,0.03821433105689276,0.032405385667690675
"Sancroft Street, Vauxhall",530957.216164684,178412.770663108,83.0,-0.0008569820489775781,0.003282962442414079,-0.037125115672674916,-0.016327846479669346
"Devonshire Square, Liverpool Street",533339.669973157,181475.178572103,84.0,-0.012670372496839655,0.015267500366913392,-0.01890457745313634,0.00651467026729885
"Bayley Street , Bloomsbury",529699.1746986529,181617.647514845,85.0,0.0021217125719009827,0.0043727262182420915,0.030686080823283668,-0.020940589903834406
"Tavistock Place, Bloomsbury",530273.39471655,182478.357280483,86.0,0.008098881637803677,0.030061237194099793,0.06309223307823311,0.03883623107171736
"Harrington Square 1, Camden Town",529158.242569782,183208.861943234,87.0,0.001644508272478952,0.0037096495522242583,-0.004789512346477481,-0.01532599192354521
"Walnut Tree Walk, Vauxhall",531230.637200178,178884.828405625,88.0,0.02238455079861008,0.001858078611852821,0.0685707634881855,0.033399766347216336
"Borough Road, Elephant & Castle",531948.137706595,179495.844849092,89.0,0.002453200906549973,0.008974892621610882,0.0028649341927839134,-0.01779113957814124
"Cloudesley Road, Angel",531256.391338131,183417.42093930696,90.0,-0.006458364952185949,-0.02074920448424811,-0.07436516718996694,-0.02218636795663642
"Bricklayers Arms, Borough",532975.366984215,179079.150643688,91.0,0.022291853749466788,0.004605846503926661,0.06572781601389327,0.042669919615110685
"Aldersgate Street, Barbican",532097.620148101,181928.946067389,92.0,0.019920063303090124,0.0454818549545226,0.1476551680386747,0.09250101686759289
"Falkirk Street, Hoxton",533372.734966002,183088.069121974,93.0,-0.010727492015486947,-0.016104006881250903,-0.06758166639317462,-0.06932584479246806
"Gloucester Road (North), Kensington",526169.579975375,179228.129714801,94.0,0.0012291636093527472,-0.0029361717338739456,0.044404246836353384,0.02771117389088386
"Hampstead Road, Euston",529246.875973423,182368.982886032,95.0,-0.011746230681910962,0.0006366625390584468,-0.00422441624816855,-0.03110214142404122
"Old Quebec Street, Marylebone",527896.515332111,181125.569140047,96.0,0.004879669989234427,0.009352782328164395,0.0680670969356883,0.03460133506950844
"Albert Embankment, Vauxhall",530421.495915156,178502.404595273,97.0,0.003243306411798031,-0.0036556315700307235,-0.008090707633376465,-0.019442455844061332
"Queen Street 1, Bank",532439.340334585,180903.318805743,98.0,0.00953030480598445,0.09755206650445428,0.1384503245223222,0.21202087078768286
"Jewry Street, Aldgate",533554.241011832,181140.980333295,99.0,0.010244542905300628,0.012493600171491655,0.04979216723675228,0.04182820880651811
"Vicarage Gate, Kensington",525538.5898342868,179967.962807336,100.0,-0.008420900612544,-0.01393689977260567,-0.04916366264186317,-0.026318799847035362
"Crosswall, Tower",533531.9749795832,180932.68060897896,101.0,0.009661722413609457,0.0036576722252628854,-0.019442527687475397,0.10585326190332955
"Westbourne Grove, Bayswater",525670.7166438169,181179.44555407297,102.0,0.001901002479723038,0.00605071065710127,0.04205030414802596,0.006785245894540784
"Woodstock Street, Mayfair",528652.423115768,181089.407255321,103.0,-0.013648944601126537,-0.016882720149151147,-0.09131179627307079,-0.0752346099294927
"Finsbury Leisure Centre, St. Luke's",532150.109448254,182504.014270251,104.0,0.02954141817158341,0.024474082697392603,0.1508622500752021,0.0833345757246689
"Abbey Orchard Street, Westminster",529757.7544171449,179336.432131898,105.0,-0.011008394580607941,0.05271779020076382,0.02925149892824369,0.05119324025931554
"Soho Square , Soho",529687.629798258,181291.32720274696,106.0,0.04380026977395456,0.01653428519190589,0.23787748890729676,0.007779272248488817
"Wellington Road, St. John's Wood",526847.222161786,183149.10879014,107.0,0.002732557975913999,0.0002325350258476841,-0.019760895973022358,0.006464741403422167
"Park Lane , Hyde Park",527977.211263324,180620.657651964,108.0,0.0007573912378697409,-0.006874901243322209,0.038782200330649164,-0.025499545644919144
"Stonecutter Street, Holborn",531565.810325755,181357.582457654,109.0,-0.025004816280458,0.023568846914037836,-0.05075357401221356,-0.01141106628651116
"Gloucester Road (Central), South Kensington",526208.057603471,179059.90235081,110.0,-0.007466168806136538,-0.011232593653791223,-0.013343681365039023,-0.015083073663517743
"Park Road (Baker Street), The Regent's Park",527812.051618423,182222.423988968,111.0,0.004683792435241363,-0.009853713322335787,0.014709238585463108,0.010803232158789935
"Braham Street, Aldgate",533768.22887435,181235.555967826,112.0,0.013524552360932585,0.024040136322482322,0.1245552768187575,0.06011548282700155
"Little Argyll Street, West End",529064.106893529,181140.342528775,113.0,0.02207464235689028,-0.0011849477741842918,0.15926313133968073,-0.01390750098490523
"Lollard Street, Vauxhall",530962.875472784,178790.225615963,114.0,0.04040088180939547,0.003423249533129169,0.1336634383488825,0.03247716573679903
"Rochester Row, Westminster",529533.524318788,179076.004986194,115.0,0.00221467326705203,0.008701040746308793,0.03044017779821731,0.008227026230592363
"Bath Street, St. Luke's",532534.12183598,182501.795353738,116.0,0.017770286036140448,0.045463039132856056,0.0981899901224578,0.0788876884159192
"The Guildhall, Guildhall",532410.381985329,181368.905615252,117.0,-0.004075958921879924,0.023534636749678456,0.003308581424695145,0.024191085483913716
"Baker Street, Marylebone",528030.809891869,181611.603013952,118.0,-0.012302093086930487,0.01592730478698895,-0.01611758571089572,0.021386653958880397
"Norton Folgate, Liverpool Street",533388.438670958,181991.331568152,119.0,-0.007095229276616231,0.032271954410281356,-0.002822944806708527,0.019548949836704632
"St. John Street, Finsbury",531568.801374713,182751.894993942,120.0,-0.003740837973366079,0.002343432327705633,-0.029789876069594823,-0.012533016940261751
"Eaton Square, Belgravia",528449.674277263,179127.573660256,121.0,-0.007742068074812343,-0.0033263551513225513,-0.023660705019296485,-0.007058686575051584
"Borough High Street, The Borough",532359.756657119,179698.732562653,122.0,0.006959429850539434,0.021840392337630705,0.023406197272751617,0.0046107609963394885
"Museum of London, Barbican",532164.557665897,181590.06017278697,123.0,-0.006947237579401341,0.05942745058956829,0.05355404273840536,0.051777005221257444
"Wood Street, Guildhall",532348.969931508,181510.109467925,124.0,-0.007117104917734157,0.02381027456535199,0.004714999008382348,0.025280021147943588
"Emperor's Gate, South Kensington",526073.609123984,178945.523342914,125.0,-0.012890326938751834,-0.01982889884602622,-0.06793498857401414,-0.03324170657913898
"Golden Square, Soho",529377.566884403,180866.738108507,126.0,-0.017361303236152953,-0.018543673513525642,-0.11120437296333952,-0.07514191670570748
"Tower Gardens , Tower",533653.019851901,180708.127551478,127.0,0.012850315339459267,0.001973666676864008,0.0729052112134323,0.036732544563298136
"Eversholt Street , Camden Town",529322.459256907,183205.371427034,128.0,-0.008474712151905903,-0.010131704230665117,-0.04790257421507771,-0.03792409239368405
"Bethnal Green Road, Shoreditch",533658.456516078,182289.773151085,129.0,0.039423470940117486,0.021425982892313608,0.20088417108599615,0.04458985432584908
"Derry Street, Kensington",525629.105969466,179599.645377958,130.0,0.012182262945276114,-0.0003473143227711653,0.08773126562501543,0.03503959262826528
"Wapping High Street, Wapping",534182.416970619,180204.772692291,131.0,-0.00705651145293611,-0.01369744902195491,-0.06979117236981289,-0.039282960228301335
"Clerkenwell Green, Clerkenwell",531586.975341092,182185.922407356,132.0,0.024108038886622267,0.024554436412552606,0.1361040852312381,0.03440473401041695
"Queen Victoria Street, St. Paul's",532120.548487368,180942.791268588,133.0,-0.0005116001219757846,0.036785205947013476,0.02050426663309443,0.027584672006902594
"Green Street, Mayfair",527959.224811736,180862.545134059,134.0,-0.011811528359341374,-0.018688756315973897,-0.019179601810625946,-0.04973359177219637
"Lambeth Road, Vauxhall",530742.306914434,179013.148455926,135.0,-0.0057576450581928,0.021783386085019875,-0.04035770911685957,0.022742930914373446
