,index,x,y,docks_num,centrality,centrali_1,AD
1.0,"River Street , Clerkenwell",531204.957571767,182826.87438858897,19,0.009374651778366,0.056039850560399,0.0041512923926025356
2.0,"Phillimore Gardens, Kensington",525203.530182866,179389.872735228,37,0.025723845291775,0.112079701120797,0.006709254791011146
3.0,"Christopher Street, Liverpool Street",532984.115423573,182001.761003436,32,0.064703347183715,0.130759651307597,0.01649261618500499
4.0,"St. Chad's Street, King's Cross",530435.41311397,182912.683769038,23,0.019062236586398,0.056039850560399,0.008447250905116298
5.0,"Sedding Street, Sloane Square",528051.439095636,178742.19445576,27,0.050676694466615,0.181818181818182,0.005115192113815805
6.0,"Broadcasting House, Marylebone",528861.063697691,181543.51463239297,18,0.067974327440538,0.155666251556663,0.0037403856615789172
7.0,"Charlbert Street, St. John's Wood",527154.489411764,183297.832175365,16,0.003571960824124,0.084682440846824,0.0014906825988353775
8.0,"Maida Vale, Maida Vale",526107.797309316,182785.556644127,39,0.010759376072946,0.127023661270237,0.0022263653001959646
9.0,"New Globe Walk, Bankside",532200.4832765369,180434.756796456,19,0.03295267950522,0.069738480697385,0.004505200378827935
10.0,"Park Street, Bankside",532460.306559582,180284.137735697,18,0.023686102861595,0.066002490660025,0.0037997373819402634
11.0,"Brunswick Square, Bloomsbury",530351.782854378,182231.31269203496,24,0.039193812254038,0.090909090909091,0.0068745256361900965
12.0,"Malet Street, Bloomsbury",529798.73995559,181959.51347555497,49,0.057986074862747,0.148194271481943,0.010857669706107851
13.0,"Scala Street, Fitzrovia",529421.521726611,181754.375523082,21,0.04523793864073,0.080946450809465,0.015758449747721923
14.0,"Belgrove Street , King's Cross",530250.189387028,182892.243952868,48,0.069284700094224,0.383561643835616,0.013863940097006597
15.0,"Great Russell Street, Bloomsbury",529992.671338642,181531.300368896,26,0.045193175380549,0.104607721046077,0.006761962189057522
16.0,"Cartwright Gardens , Bloomsbury",530096.390561365,182489.384900453,21,0.025472054635402,0.105853051058531,0.0050665203486650046
17.0,"Hatton Wall, Holborn",531294.621763602,182002.460349627,26,0.068086083940215,0.184308841843088,0.005551364501725196
18.0,"Drury Lane, Covent Garden",530390.779404385,181206.913906888,27,0.055355324386823,0.13200498132005,0.007811257271382637
19.0,"Taviton Street, Bloomsbury",529744.489272031,182337.24868997,30,0.033050117690438,0.118306351183064,0.00760696800783525
20.0,"Drummond Street , Euston",529395.009905378,182585.43373367697,28,0.008436417210306,0.11332503113325,0.006026969689185102
21.0,"Lansdowne Drive, Hackney Central",534440.470789519,184103.486562737,26,0.011585156911601,0.094645080946451,0.0018545475572458127
22.0,"Northington Street , Holborn",530934.505810079,182061.659535295,19,0.058961159706371,0.133250311332503,0.003912145927701605
23.0,"Red Lion Square, Holborn",530598.349359577,181735.36701139496,16,0.018521540007691,0.057285180572852,0.004086682700616906
24.0,"British Museum, Bloomsbury",530214.78427842,181687.75057060696,35,0.041318733041396,0.092154420921544,0.00866902102682478
25.0,"Doric Way , Somers Town",529658.188558382,182754.224471841,50,0.021635908133972,0.161892901618929,0.010133648955103276
26.0,"Ampton Street , Clerkenwell",530631.70793911,182602.725895929,21,0.014469444179849,0.068493150684932,0.0050537394699170755
27.0,"Bouverie Street, Temple",531388.96113875,181129.527427327,33,0.06554896643527,0.145703611457036,0.009149138964670449
28.0,"Bolsover Street, Fitzrovia",528886.884994947,182145.191779499,19,0.03477561200467,0.141967621419676,0.0033175923822878826
29.0,"Hereford Road, Bayswater",525448.98372484,180969.32654305696,22,0.014584605612358,0.098381070983811,0.003817343462162734
30.0,"Windsor Terrace, Hoxton",532347.133815433,182860.123039711,24,0.015790192306901,0.080946450809465,0.004673169553364176
31.0,"Fanshaw Street, Hoxton",533047.2089655369,182921.317506944,36,0.027942509549716,0.105853051058531,0.006709907738820721
32.0,"Leonard Circus , Shoreditch",532985.97197328,182376.762905098,43,0.046347307934449,0.119551681195517,0.008765920095747247
33.0,"Central House, Aldgate",534002.47257141,181348.195220234,18,0.016380036079719,0.074719800747198,0.0030307809939161615
34.0,"Pancras Road, King's Cross",529837.242999967,183345.488751258,16,0.019089702867292,0.077210460772105,0.0019479234911806125
35.0,"De Vere Gardens, Kensington",526073.272576991,179650.130818359,28,0.015632203720483,0.077210460772105,0.013824855090817894
36.0,"Penywern Road, Earl's Court",525587.391807732,178512.195851758,17,0.007388032690513,0.127023661270237,0.0028682103079774248
37.0,"Abingdon Villas, Kensington",525233.782490646,179149.703423301,17,0.008126789702562,0.054794520547945,0.002518032014336862
38.0,"Shoreditch High Street, Shoreditch",533424.616129106,182579.642087642,41,0.052963966988189,0.164383561643836,0.007064740129557534
39.0,"Commercial Street, Shoreditch",533615.7939318409,182020.005432553,16,0.018359259487962,0.070983810709838,0.0035131037903686478
40.0,"Pindar Street, Liverpool Street",533062.311184328,181968.565272779,24,0.049589899236257,0.085927770859278,0.010762790925414488
41.0,"Wenlock Road , Hoxton",532306.402924617,183062.78726409096,28,0.026364662541415,0.12826899128269,0.005075971437819135
42.0,"Crawford Street, Marylebone",527953.837187878,181752.59915116697,18,0.036264453673453,0.140722291407223,0.004276993041448835
43.0,"Bruton Street, Mayfair",528880.3047933129,180723.996524774,21,0.034045665261212,0.070983810709838,0.00801575469623829
44.0,"Boston Place, Marylebone",527593.3191153889,182000.533053123,26,0.023659603316888,0.24159402241594,0.008359882501623173
45.0,"Nesham Street, Wapping",534249.341376323,180467.134931912,16,0.0264237332686,0.130759651307597,0.0024169272883850564
46.0,"Warwick Avenue Station, Maida Vale",526092.3964710609,182056.13698687297,19,0.009825097415358,0.136986301369863,0.0016035636555865997
47.0,"Godliman Street, St. Paul's",532005.452526497,180996.88733874296,25,0.05123689041652,0.114570361145704,0.006521122978511879
48.0,"Curzon Street, Mayfair",528769.5789668369,180314.093496067,16,0.045583847551782,0.104607721046077,0.024837038306581433
49.0,"East Road, Hoxton",532757.589711836,182819.66018985497,27,0.019042344001836,0.085927770859278,0.00537541618668076
50.0,"Finsbury Library , Finsbury",531602.512747807,182564.957739675,29,0.031569261929731,0.070983810709838,0.007425823929393206
51.0,"Roscoe Street, St. Luke's",532256.340869079,182165.843277003,18,0.027343993229826,0.105853051058531,0.004485034030551613
52.0,"Grafton Street, Mayfair",528933.064764512,180636.588990235,18,0.037705574002323,0.070983810709838,0.006929310207850953
53.0,"Golden Lane, Barbican",532303.1404028392,182036.324288911,27,0.027953657006451,0.098381070983811,0.007181353139923603
54.0,"Finsbury Circus, Liverpool Street",532848.2605068489,181532.18270781,33,0.123530019028274,0.341220423412204,0.007596752431001393
55.0,"Paddington Street, Marylebone",528124.614277994,181796.310490989,16,0.031994100571918,0.114570361145704,0.003707787829940518
