"id","commonName","lon","lat","NbDocks"
"BikePoints_1","River Street , Clerkenwell",-0.11,51.5292,19
"BikePoints_2","Phillimore Gardens, Kensington",-0.1976,51.4996,37
"BikePoints_3","Christopher Street, Liverpool Street",-0.0846,51.5213,32
"BikePoints_4","St. Chad's Street, King's Cross",-0.121,51.5301,23
"BikePoints_5","Sedding Street, Sloane Square",-0.1569,51.4931,27
"BikePoints_6","Broadcasting House, Marylebone",-0.1442,51.5181,18
"BikePoints_7","Charlbert Street, St. John's Wood",-0.1681,51.5343,16
"BikePoints_8","Maida Vale, Maida Vale",-0.1835,51.5299,39
"BikePoints_9","New Globe Walk, Bankside",-0.0964,51.5074,19
"BikePoints_10","Park Street, Bankside",-0.0928,51.506,18
"BikePoints_11","Brunswick Square, Bloomsbury",-0.1225,51.524,24
"BikePoints_12","Malet Street, Bloomsbury",-0.1304,51.5217,49
"BikePoints_13","Scala Street, Fitzrovia",-0.136,51.5199,21
"BikePoints_14","Belgrove Street , King's Cross",-0.1236,51.5299,48
"BikePoints_15","Great Russell Street, Bloomsbury",-0.1279,51.5177,26
"BikePoints_16","Cartwright Gardens , Bloomsbury",-0.126,51.5264,21
"BikePoints_17","Hatton Wall, Holborn",-0.109,51.5217,26
"BikePoints_18","Drury Lane, Covent Garden",-0.1222,51.5148,27
"BikePoints_19","Taviton Street, Bloomsbury",-0.1312,51.5251,30
"BikePoints_20","Drummond Street , Euston",-0.1361,51.5273,28
"BikePoints_21","Lansdowne Drive, Hackney Central",-0.0628,51.5398,26
"BikePoints_22","Northington Street , Holborn",-0.1141,51.5223,19
"BikePoints_23","Red Lion Square, Holborn",-0.1191,51.5194,16
"BikePoints_24","British Museum, Bloomsbury",-0.1247,51.5191,35
"BikePoints_25","Doric Way , Somers Town",-0.1322,51.5288,50
"BikePoints_26","Ampton Street , Clerkenwell",-0.1183,51.5273,21
"BikePoints_27","Bouverie Street, Temple",-0.1079,51.5138,33
"BikePoints_28","Bolsover Street, Fitzrovia",-0.1436,51.5235,19
"BikePoints_29","Hereford Road, Bayswater",-0.1935,51.5137,22
"BikePoints_30","Windsor Terrace, Hoxton",-0.0934,51.5292,24
"BikePoints_31","Fanshaw Street, Hoxton",-0.0834,51.5295,36
"BikePoints_32","Leonard Circus , Shoreditch",-0.0844,51.5247,43
"BikePoints_33","Central House, Aldgate",-0.0702,51.5152,18
"BikePoints_34","Pancras Road, King's Cross",-0.1294,51.5341,16
"BikePoints_36","De Vere Gardens, Kensington",-0.185,51.5017,28
"BikePoints_37","Penywern Road, Earl's Court",-0.1924,51.4916,17
"BikePoints_38","Abingdon Villas, Kensington",-0.1972,51.4974,17
"BikePoints_39","Shoreditch High Street, Shoreditch",-0.0781,51.5264,41
"BikePoints_40","Commercial Street, Shoreditch",-0.0756,51.5213,16
"BikePoints_41","Pindar Street, Liverpool Street",-0.0835,51.521,24
"BikePoints_42","Wenlock Road , Hoxton",-0.0939,51.531,28
"BikePoints_43","Crawford Street, Marylebone",-0.1572,51.5203,18
"BikePoints_44","Bruton Street, Mayfair",-0.1442,51.5107,21
"BikePoints_45","Boston Place, Marylebone",-0.1623,51.5225,26
"BikePoints_46","Nesham Street, Wapping",-0.0669,51.5071,16
"BikePoints_47","Warwick Avenue Station, Maida Vale",-0.1838,51.5233,19
"BikePoints_48","Godliman Street, St. Paul's",-0.0991,51.5125,25
"BikePoints_49","Curzon Street, Mayfair",-0.1459,51.5071,16
"BikePoints_50","East Road, Hoxton",-0.0875,51.5287,27
"BikePoints_51","Finsbury Library , Finsbury",-0.1043,51.5267,29
"BikePoints_52","Roscoe Street, St. Luke's",-0.0949,51.523,18
"BikePoints_53","Grafton Street, Mayfair",-0.1435,51.51,18
"BikePoints_54","Golden Lane, Barbican",-0.0945,51.5217,27
"BikePoints_55","Finsbury Circus, Liverpool Street",-0.0867,51.5171,33
"BikePoints_56","Paddington Street, Marylebone",-0.1547,51.5206,16
"BikePoints_57","Guilford Street , Bloomsbury",-0.1202,51.5233,32
"BikePoints_60","Lisson Grove, St. John's Wood",-0.1722,51.5264,18
"BikePoints_61","Great Dover Street, The Borough",-0.0894,51.4974,33
"BikePoints_62","Cotton Garden Estate, Kennington",-0.1063,51.4908,24
"BikePoints_63","Murray Grove , Hoxton",-0.0898,51.5309,27
"BikePoints_64","William IV Street, Strand",-0.1247,51.5095,26
"BikePoints_65","Gower Place , Euston",-0.1352,51.5252,17
"BikePoints_66","Holborn Circus, Holborn",-0.1087,51.5179,40
"BikePoints_67","Hatton Garden, Holborn",-0.108,51.5188,28
"BikePoints_68","Theobald's Road , Holborn",-0.1167,51.5206,26
"BikePoints_69","Euston Road, Euston",-0.1344,51.5262,24
"BikePoints_70","Calshot Street , King's Cross",-0.1171,51.5314,24
"BikePoints_71","Newgate Street , St. Paul's",-0.0988,51.5154,34
"BikePoints_72","Farringdon Lane, Clerkenwell",-0.1083,51.5235,16
"BikePoints_73","Old Street Station, St. Luke's",-0.0897,51.5255,29
"BikePoints_74","Vauxhall Cross, Vauxhall",-0.1245,51.4859,17
"BikePoints_75","Torrens Street, Angel",-0.1055,51.5322,19
"BikePoints_76","Longford Street, The Regent's Park",-0.1441,51.5256,21
"BikePoints_77","Russell Square Station, Bloomsbury",-0.1241,51.5234,26
"BikePoints_78","Sadlers Sports Centre, Finsbury",-0.0995,51.5249,17
"BikePoints_79","Arundel Street, Temple",-0.1139,51.5117,18
"BikePoints_80","Webber Street , Southwark",-0.1021,51.5007,45
"BikePoints_81","Great Titchfield Street, Fitzrovia",-0.1413,51.5203,19
"BikePoints_82","Chancery Lane, Holborn",-0.1113,51.5143,15
"BikePoints_83","Panton Street, West End",-0.1315,51.5096,21
"BikePoints_84","Breams Buildings, Holborn",-0.1118,51.5159,25
"BikePoints_85","Tanner Street, Bermondsey",-0.0786,51.5006,41
"BikePoints_86","Sancroft Street, Vauxhall",-0.1152,51.4895,24
"BikePoints_87","Devonshire Square, Liverpool Street",-0.0797,51.5165,16
"BikePoints_88","Bayley Street , Bloomsbury",-0.1321,51.5186,25
"BikePoints_89","Tavistock Place, Bloomsbury",-0.1235,51.5262,19
"BikePoints_90","Harrington Square 1, Camden Town",-0.1392,51.533,27
"BikePoints_91","Walnut Tree Walk, Vauxhall",-0.111,51.4937,20
"BikePoints_92","Borough Road, Elephant & Castle",-0.1004,51.4989,41
"BikePoints_93","Cloudesley Road, Angel",-0.109,51.5344,37
"BikePoints_94","Bricklayers Arms, Borough",-0.0858,51.4951,28
"BikePoints_95","Aldersgate Street, Barbican",-0.0973,51.5208,15
"BikePoints_96","Falkirk Street, Hoxton",-0.0785,51.5309,26
