index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,finance,food_drink,hospital,residence,leisure,shopping,school,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance1,leisure1,residence1,restaurant,university,shopping1,tube_acce
"River Street , Clerkenwell",531204.9576,182826.8744,1,531204.9576,182826.8744,19,0.0041513,200,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,1790.99907,2,0.00001,0.05603985,0.125778331,74.68843,0.009374651,0.020411222,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.07056
"Phillimore Gardens, Kensington",525203.5302,179389.8727,2,525203.5302,179389.8727,37,0.0067093,200,0.00001,5,2,1,3,4,0.00001,1433.84358,5,0.00001,0.112079701,0.287671232,5.88738,0.025723845,0.038804947,0.00001,0.00001,0.00001,3,0.00001,2,0.06935
"Christopher Street, Liverpool Street",532984.1154,182001.761,3,532984.1154,182001.761,32,0.0164926,200,0.00001,18,0.00001,4,7,0.00001,0.00001,344.438,7,0.00001,0.130759651,0.193026151,7.53774,0.064703347,0.022002732,0.00001,4,2,7,0.00001,0.00001,0.10773
"St. Chad's Street, King's Cross",530435.4131,182912.6838,4,530435.4131,182912.6838,23,0.0084473,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1503.96252,8,0.00001,0.05603985,0.164383561,6.56075,0.019062236,0.033878075,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.07019
"Sedding Street, Sloane Square",528051.4391,178742.1945,5,528051.4391,178742.1945,27,0.0051152,200,2,3,1,0.00001,2,3,0.00001,1236.33095,9,1,0.181818181,0.367372353,0.00001,0.050676694,0.048488088,2,0.00001,0.00001,2,0.00001,2,0.52042
"Broadcasting House, Marylebone",528861.0637,181543.5146,6,528861.0637,181543.5146,18,0.0037404,200,0.00001,12,8,16,6,6,0.00001,709.02528,2,0.00001,0.155666251,0.300124533,0.00001,0.067974327,0.043593457,0.00001,1,1,3,0.00001,3,0.10485
"Charlbert Street, St. John's Wood",527154.4894,183297.8322,7,527154.4894,183297.8322,16,0.0014907,200,1,8,3,0.00001,5,19,0.00001,2528.99751,1,0.00001,0.08468244,0.139476961,0.00001,0.00357196,0.025407039,1,0.00001,0.00001,3,0.00001,10,0.03282
"Maida Vale, Maida Vale",526107.7973,182785.5566,8,526107.7973,182785.5566,39,0.0022264,200,2,4,3,0.00001,2,6,0.00001,1739.48449,4,1,0.127023661,0.237858032,0.00001,0.010759376,0.040120093,2,0.00001,0.00001,1,0.00001,0.00001,0.1088
"New Globe Walk, Bankside",532200.4833,180434.7568,9,532200.4833,180434.7568,19,0.0045052,200,0.00001,3,0.00001,1,6,1,1,1039.93812,3,0.00001,0.06973848,0.135740971,7.51737,0.032952679,0.019990396,0.00001,1,0.00001,3,1,1,0.18458
"Park Street, Bankside",532460.3066,180284.1377,10,532460.3066,180284.1377,18,0.0037997,200,0.00001,7,0.00001,4,2,2,0.00001,674.20294,6,0.00001,0.06600249,0.132004981,0.00001,0.023686102,0.021859965,0.00001,1,0.00001,4,0.00001,2,0.2468
"Brunswick Square, Bloomsbury",530351.7829,182231.3127,11,530351.7829,182231.3127,24,0.0068745,200,2,10,2,2,2,3,1,2149.65938,1,1,0.09090909,0.290161892,29.68735,0.039193812,0.050340318,2,1,0.00001,3,0.00001,1,0.14239
"Malet Street, Bloomsbury",529798.74,181959.5135,12,529798.74,181959.5135,49,0.0108577,200,1,6,0.00001,7,3,1,4,966.27634,0,0.00001,0.148194271,0.364881693,22.47893,0.057986074,0.043672282,1,0.00001,0.00001,0.00001,3,0.00001,0.12287
"Scala Street, Fitzrovia",529421.5217,181754.3755,13,529421.5217,181754.3755,21,0.0157584,200,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,1540.62922,4,1,0.08094645,0.194271481,7.49555,0.045237938,0.026977064,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.12836
"Belgrove Street , King's Cross",530250.1894,182892.244,14,530250.1894,182892.244,48,0.0138639,200,8,36,0.00001,29,9,14,0.00001,1156.52556,11,1,0.383561643,0.567870485,12.20588,0.0692847,0.115347308,8,0.00001,26,9,0.00001,5,0.08371
"Great Russell Street, Bloomsbury",529992.6713,181531.3004,15,529992.6713,181531.3004,26,0.006762,200,0.00001,1,0.00001,2,1,0.00001,1,893.60547,8,0.00001,0.104607721,0.230386052,2.79745,0.045193175,0.031255368,0.00001,1,0.00001,1,1,0.00001,0.12518
"Cartwright Gardens , Bloomsbury",530096.3906,182489.3849,16,530096.3906,182489.3849,21,0.0050665,200,0.00001,15,0.00001,11,1,5,0.00001,4887.686,0,0.00001,0.105853051,0.239103362,5.89281,0.025472054,0.042761751,0.00001,0.00001,6,4,0.00001,1,0.12337
"Hatton Wall, Holborn",531294.6218,182002.4603,17,531294.6218,182002.4603,26,0.0055514,200,0.00001,15,1,0.00001,1,13,0.00001,1607.02861,6,0.00001,0.184308841,0.303860523,62.25548,0.068086083,0.045958184,0.00001,0.00001,0.00001,5,0.00001,7,0.07759
"Drury Lane, Covent Garden",530390.7794,181206.9139,18,530390.7794,181206.9139,27,0.0078113,200,1,14,4,1,5,7,0.00001,1660.48667,0,0.00001,0.132004981,0.498132005,0.00001,0.055355324,0.094962149,1,0.00001,0.00001,5,0.00001,5,0.1385
"Taviton Street, Bloomsbury",529744.4893,182337.2487,19,529744.4893,182337.2487,30,0.007607,200,0.00001,0.00001,0.00001,4,0.00001,0.00001,3,1014.17389,2,0.00001,0.118306351,0.310087173,14.71501,0.033050117,0.046550089,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.22217
"Drummond Street , Euston",529395.0099,182585.4337,20,529395.0099,182585.4337,28,0.006027,200,0.00001,5,0.00001,2,0.00001,3,0.00001,669.24221,5,2,0.113325031,0.127023661,27.54813,0.008436417,0.025915948,0.00001,0.00001,0.00001,2,0.00001,0.00001,0.71264
